account_name,statement_type
Ativo não Circulante Mantido para Venda,BPA
Ativo não circulante mantido para venda,BPA
Ativo sujeito à indenização,BPA
Ativos Biológicos,BPA
Ativos Classificados como Mantidos para Venda,BPA
Ativos Classificados como Mantidos para a Venda,BPA
Ativos Contratuais,BPA
Ativos Disponíveis Para Venda,BPA
Ativos Disponíveis para Venda,BPA
Ativos Financeiros,BPA
Ativos Financeiros - Contratos de Concessão,BPA
Ativos Financeiros Avaliados a Valor Justo através de Outros Resultados Abrangentes,BPA
Ativos Financeiros Avaliados a Valor Justo através do Resultado,BPA
Ativos Financeiros Avaliados ao Custo Amortizado,BPA
Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes,BPA
Ativos Financeiros Avaliados ao Valor Justo através do Resultado,BPA
Ativos Financeiros Mensurados ao Valor Justo por Meio de Outros Resultados Abrangentes,BPA
Ativos Financeiros Mensurados ao Valor Justo por meio do Resultado,BPA
Ativos Financeiros Setoriais,BPA
Ativos Financeiros ao Custo Amortizado,BPA
Ativos Financeiros e Setoriais da Concessão,BPA
Ativos Fiscais,BPA
Ativos Indenizatórios,BPA
Ativos Intangíveis,BPA
Ativos Intangíveis Alocados,BPA
Ativos Judiciais,BPA
Ativos Mantidos Para Venda,BPA
Ativos Mantidos para Venda,BPA
Ativos Mantidos para a Venda,BPA
Ativos Mantidos para venda,BPA
Ativos Não Circulantes Mantidos para Venda,BPA
Ativos Não Correntes a Venda,BPA
Ativos Não-Correntes a Venda,BPA
Ativos Relacionados a Contratos com Clientes,BPA
Ativos Relacionados aos Fundos de Pensão,BPA
Ativos Sujeito à Indenização,BPA
Ativos Tributados Diferidos,BPA
Ativos classificados como mantidos para venda,BPA
Ativos com partes relacionadas,BPA
Ativos da concessão,BPA
Ativos da operação descontinuada,BPA
Ativos de Contrato,BPA
Ativos de Direito de Uso,BPA
Ativos de Direito de uso,BPA
Ativos de Indenização,BPA
Ativos de Obras a Executar,BPA
Ativos de Operações Descontinuadas,BPA
Ativos de Resseguro,BPA
Ativos de Resseguro e Retrocessão - Provisões Técnicas,BPA
Ativos de Resseguros,BPA
Ativos de Resseguros - Provisões Técnicas,BPA
Ativos de Retrocessão,BPA
Ativos de arrendamentos,BPA
Ativos de bens mantidos para venda,BPA
Ativos de concessão,BPA
Ativos de contrato,BPA
Ativos de contratos com clientes,BPA
Ativos de contratos com clientes - direitos de exclusividade,BPA
Ativos de direito de uso,BPA
Ativos de direito de uso (IFRS 16),BPA
Ativos de direitos de uso,BPA
Ativos de indenização,BPA
Ativos de indenização na aquisição de empresas,BPA
Ativos de resseguro,BPA
Ativos destinados a venda,BPA
Ativos disponiveis para venda,BPA
Ativos disponíveis para venda,BPA
Ativos financeiros,BPA
Ativos financeiros do setor,BPA
Ativos financeiros setoriais,BPA
Ativos fiscais correntes,BPA
Ativos fiscais diferidos,BPA
Ativos fiscais não correntes,BPA
Ativos intangíveis em desenvolvimento,BPA
Ativos mantidos para distribuição aos proprietários,BPA
Ativos mantidos para venda,BPA
Ativos não circulantes mantidos para venda,BPA
Ativos não financeiros mantidos para venda,BPA
Ativos por Direito de Uso,BPA
Ativos por impostos correntes,BPA
Ativos setoriais,BPA
Autorização e Concessão de Controladas,BPA
Autorizações,BPA
Ações Preferenciais Resgatáveis,BPA
Baixa renda e outros créditos,BPA
Banco Conta Vinculada,BPA
Banco Conta vinculada,BPA
Bancos,BPA
Bancos Conta Vinculada,BPA
Bancos conta movimento,BPA
Bancos e Aplicação de Convênios,BPA
Base de Dados,BPA
Beneficio fiscal - ágio incorporado da controladora,BPA
Benefício Residual em Operações Securitizadas,BPA
Benefício pós emprego - Superávit atuarial,BPA
Benefícios a empregados,BPA
Benefícios pós-emprego e outros benefícios,BPA
Benfeitorias em Imóveis de Terceiros,BPA
Benfeitorias em bens de terceiros,BPA
Bens Arrendados,BPA
Bens Destinados a Venda,BPA
Bens Destinados à Venda,BPA
Bens Disponíveis para Venda,BPA
Bens Móveis,BPA
Bens Móveis de Uso Próprio,BPA
Bens destinados a Venda,BPA
Bens destinados a venda,BPA
Bens e Direitos Destinados a Alienação e Bens de Renda,BPA
Bens e Direitos destinados a Alienação e Renda,BPA
Bens para devolução aos sócios,BPA
Bloqueio Judicial,BPA
Bloqueio judicial,BPA
Bloqueios Judiciais,BPA
Bloqueios judiciais,BPA
Boleto Bancário / Transferência On-Line,BPA
Bonificações antecipadas concedidas a clientes,BPA
Bônus de Escassez Hídrica,BPA
CAIXA E EQUIVALENTE DE CAIXA,BPA
CDB/Compromissadas,BPA
CELG - Compania de Eletricidade de Goiás,BPA
CLIENTES,BPA
COFINS,BPA
CSLL Diferidos,BPA
Cabos,BPA
Caixa,BPA
Caixa E Banco,BPA
Caixa Margem,BPA
