account_name,statement_type
Parcelamento de Impostos Federais,BPP
Parcelamento de Obrigações Tributárias,BPP
Parcelamento de Taxas/Emolumentos,BPP
Parcelamento de Tributos,BPP
Parcelamento de Tributos - INSS,BPP
Parcelamento de Tributos - ISS,BPP
Parcelamento de Tributos Estaduais,BPP
Parcelamento de Tributos e Contribuições (Outras Exigibilidades),BPP
Parcelamento de impostos,BPP
Parcelamento de impostos e contribuições,BPP
Parcelamento de obrigações tributárias,BPP
Parcelamento de tributos,BPP
Parcelamento de tributos LP,BPP
Parcelamento de tributos federais,BPP
Parcelamento deTributos,BPP
Parcelamento estaduais,BPP
Parcelamento federais,BPP
Parcelamento fiscal,BPP
Parcelamento previdênciario,BPP
Parcelamento tributos,BPP
Parcelamentos,BPP
Parcelamentos Federais,BPP
Parcelamentos Judiciais,BPP
Parcelamentos Municipais a Recolher,BPP
Parcelamentos Ordinários de Tributos,BPP
Parcelamentos Tributos/Contribuições,BPP
Parcelamentos Tributário,BPP
Parcelamentos Tributários,BPP
Parcelamentos a Pagar,BPP
Parcelamentos de Impostos,BPP
Parcelamentos de Impostos e Contribuições,BPP
Parcelamentos de Tributos,BPP
Parcelamentos de Tributos e Contribuições,BPP
Parcelamentos de impostos,BPP
Parcelamentos de tributos,BPP
Parcelamentos estaduais,BPP
Parcelamentos federais,BPP
Parcelamentos fiscais,BPP
Parcelamentos municipais,BPP
Parcelamentos obrigações sociais,BPP
Parcelamentos previdenciários,BPP
Parcelamentos tributários,BPP
Parceria Público Privada,BPP
Parceria agricola a pagar,BPP
Parcerias agrícolas a pagar,BPP
Partes Relacionadas,BPP
Partes Relacionadas - Minoritários,BPP
Partes relacionadas,BPP
Partes relacionadas - ações resgatáveis,BPP
Partes relacionadas no exterior,BPP
Participação Minoritária,BPP
Participação a Pagar,BPP
Participação de Acionistas Não Controladores,BPP
Participação de Empregados e Administradores,BPP
Participação de empregados no resultado,BPP
Participação de minoritários,BPP
Participação dos Acionistas Não Controladores,BPP
Participação dos Administradores,BPP
Participação dos Administradores e Empregados a Pagar,BPP
Participação dos Colaboradores no Resultado,BPP
Participação dos Empregados,BPP
Participação dos Empregados nos Lucros,BPP
Participação dos Minoritários,BPP
Participação dos administradores,BPP
Participação dos empregados nos resultados,BPP
Participação dos minoritários,BPP
Participação especial,BPP
Participação minoritária,BPP
Participação no Resultado,BPP
Participação nos  lucros a pagar,BPP
Participação nos Lucros,BPP
Participação nos Resultados,BPP
Participação nos lucros,BPP
Participação nos lucros a pagar,BPP
Participações Estatutárias,BPP
Participações Societárias à Descoberto,BPP
Participações a Pagar,BPP
Participações a pagar,BPP
Participações de Empregados e Administradores,BPP
Participações de empregados,BPP
Participações dos Administradores e Funcionários,BPP
Participações nos Lucros,BPP
Participações nos lucros,BPP
Participações societárias a descoberto,BPP
Participações societárias a pagar,BPP
Passivo Atuarial,BPP
Passivo Circulante,BPP
Passivo Contingente,BPP
Passivo Exigível a Longo Prazo,BPP
Passivo Financeiro - Parcela A - CVA,BPP
Passivo Financeiro da Concessão,BPP
Passivo Fiscal Diferido,BPP
Passivo Leasing,BPP
Passivo Não Circulante,BPP
Passivo Relacionado às Operações Descontinuadas,BPP
Passivo Solidário,BPP
Passivo Total,BPP
Passivo a Descoberto,BPP
Passivo a Descoberto - Investimentos,BPP
Passivo a Descoberto Empresas Controladas,BPP
Passivo a Descoberto de Investimento,BPP
Passivo a Descoberto em Controladas,BPP
Passivo a descoberto,BPP
Passivo a descoberto da controlada,BPP
Passivo a descoberto das investidas,BPP
Passivo a descoberto de controladas em conjunto,BPP
Passivo a descoberto em controlada,BPP
Passivo atuarial,BPP
Passivo atuarial de planos de pensão,BPP
Passivo de Arredondamento,BPP
Passivo de Arrendamento,BPP
Passivo de Arrendamento (CPC 06 (R2)/IFRS 16),BPP
Passivo de Arrendamento - direito de uso,BPP
Passivo de Arrendamento -direito de uso,BPP
Passivo de Arrendamento IFRS 16,BPP
Passivo de Arrendamento por Direito de Uso,BPP
Passivo de Ativos Não-Correntes a Venda,BPP
Passivo de Cessão,BPP
Passivo de Contrato,BPP
Passivo de Planos de Capitalização,BPP
Passivo de arrendamento,BPP
Passivo de arrendamento - IFRS 16,BPP
Passivo de arrendamento por direito de uso,BPP
Passivo de arrendamento terceiros,BPP
Passivo de arrendamentos,BPP
Passivo de controladas mantidas para venda,BPP
Passivo de operações descontinuada,BPP
Passivo de resgate de ações,BPP
Passivo descoberto em controladas,BPP
Passivo financeiro - Concessões de Serviços Públicos,BPP
Passivo financeiro setorial,BPP
Passivo financeiro setorial (Parcela A e outros),BPP
Passivo fiscal corrente,BPP
Passivo fiscal diferido,BPP
Passivo mantido para venda,BPP
Passivo por arrendamento,BPP
Passivo relacionado a contratos com clientes,BPP
Passivos Associados a Ativos Mantidos para Venda,BPP
Passivos Classificados Como Mantido Para Venda,BPP
Passivos Contingentes,BPP
Passivos Contingentes e Obrigações Legais,BPP
Passivos Diretamente Relacionados a Ativos Mantidos para Venda,BPP
Passivos Diretamente Relacionados aos Ativos Mantidos para Venda,BPP
Passivos Financeiros Avaliados ao Valor Justo através do Resultado,BPP
Passivos Financeiros ao Custo Amortizado,BPP
Passivos Financeiros ao Valor Justo através do Resultado,BPP
Passivos Fiscais,BPP
Passivos Fiscais Correntes,BPP
Passivos Fiscais Diferidos,BPP
Passivos Referidos A Ativos Mantidos Para Venda,BPP
Passivos Relacionados a Contratos com Clientes,BPP
Passivos a descoberto em controladas,BPP
Passivos ambientais e desativação,BPP
Passivos associados a ativos mantidos para venda,BPP
Passivos assumidos na combinação de negócio,BPP
Passivos atuariais - Assistência Médica Complementar,BPP
Passivos com Clientes,BPP
Passivos com Instituições Financeiras,BPP
Passivos com Instituições financeiras,BPP
Passivos com Partes Relacionadas,BPP
Passivos da operação descontinuada,BPP
Passivos de Arrendamento,BPP
Passivos de Arrendamentos,BPP
Passivos de Operações Descontinuadas,BPP
Passivos de Operações de Arrendamento,BPP
Passivos de arredamento CP,BPP
Passivos de arredamentos,BPP
Passivos de arrendamento,BPP
Passivos de arrendamento partes relacionadas,BPP
Passivos de arrendamentos,BPP
Passivos de bens mantidos para venda,BPP
Passivos de contrato,BPP
Passivos de contratos de seguros,BPP
Passivos de contratos de seguros e previdência complementar,BPP
Passivos de operações de arrendamento,BPP
Passivos de seguros e resseguros,BPP
Passivos diretamente associados a ativos mantidos para venda,BPP
Passivos diretamente associados a ativos não circulantes classificados como mantidos para venda,BPP
Passivos disponível para venda,BPP
Passivos financeiros,BPP
Passivos financeiros conversíveis em ações,BPP
Passivos financeiros do setor,BPP
Passivos financeiros setoriais,BPP
Passivos mantidos para distribuição aos proprietários,BPP
Passivos mantidos para venda,BPP
Passivos na combinação de negócios,BPP
Passivos por Impostos Correntes,BPP
Passivos por impostos diferidos,BPP
Passivos relacionados a Brumadinho,BPP
Passivos relacionados a Contratos de Clientes,BPP
Passivos relacionados a ativos mantidos para venda,BPP
Passivos relacionados a ativos não circulantes mantidos para venda,BPP
Passivos relacionados a participação em coligadas e joint ventures,BPP
Passivos relacionados ao ativo mantidos para venda,BPP
Passivos setoriais,BPP
Passivos sobre Ativos Não Correntes a Venda,BPP
Passivos sobre Ativos Não Correntes a Venda e Descontinuados,BPP
Passivos sobre Ativos Não-Correntes a Venda,BPP
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,BPP
Passivos sobre Ativos de Operações Descontinuadas,BPP
Patrimônio Líquido Atribuído ao Controlador,BPP
Patrimônio Líquido Atribuído aos Não Controladores,BPP
Patrimônio Líquido Consolidado,BPP
Patrimônio líquido atribuível aos proprietários da controladora,BPP
Patrimônio líquido dos não controladores,BPP
Patrimônio líquido negativo de investida,BPP
Patrocínios - lei de incentivo à cultura,BPP
Perda de Capital por Integraliz. de Capital em Controlad.,BPP
Perdas com investimento,BPP
Perdas em investimentos,BPP
Perdas estimadas em investimentos,BPP
Perdas não Realizadas em Operações com Derivativos,BPP
Perdas não realizadas com instrumentos financeiros derivativos,BPP
Perdas não realizadas em Operações com Derivativos,BPP
Perdas não realizadas em operações de trading,BPP
Permutas,BPP
Pesquisa e Desenvolvimento,BPP
Pesquisa e Desenvolvimento e Eficiência Energética,BPP
Pesquisa e desenvolvimento,BPP
Pesquisa e desenvolvimento - setor elétrico,BPP
Pesquisa e desenvolvimento e eficiência energética,BPP
"Pessoal, Encargos e Benefícios Sociais",BPP
"Pessoal, encargos e benefícios sociais",BPP
Phantom Stock Options,BPP
Pis,BPP
Pis cofins a Recolher,BPP
Pis e COFINS a Recolher,BPP
Pis e Cofins,BPP
Pis e Cofins Diferido,BPP
Pis e Cofins Diferidos,BPP
Pis e Cofins Sobre as Receitas Diferidas,BPP
Pis e Cofins a Pagar,BPP
Pis e Cofins a Recolher,BPP
Pis e Cofins a pagar,BPP
Pis e Cofins a recolher sobre baixa de parcela variável,BPP
Pis e Cofins diferidos,BPP
Pis e confins diferidos,BPP
"Pis, Cofins, Csll, IRRF, IRPJ",BPP
Pis/Cofins,BPP
Pis/Cofins a Pagar,BPP
Plano Outorga de Ações,BPP
Plano de Assistência Médica,BPP
Plano de Ações,BPP
Plano de Ações Restritas,BPP
Plano de Demissão Voluntária Incentivada,BPP
Plano de Incentivo de Longo Prazo,BPP
Plano de Opção de Ações,BPP
Plano de Opção de Compras de Ações,BPP
Plano de Opções de Compra de Ações,BPP
Plano de Pensão e Saúde,BPP
Plano de Pensão e de Saúde,BPP
Plano de Previdência Privada,BPP
"Plano de Previdência Privada - Perda Atuarial, Líquido de Impostos",BPP
Plano de Remuneração Baseado em Ações,BPP
Plano de Remuneração Baseado em Ações e Outros,BPP
Plano de aposentadoria,BPP
Plano de aposentadoria e pensão,BPP
Plano de incentivo ao desligamento voluntário,BPP
Plano de opção de ações,BPP
Plano de opções a empregados e ADM,BPP
Plano de opções de ações efetuadas com títulos patrimoniais,BPP
Plano de opções de compra de ações,BPP
Plano de opções de compras,BPP
Plano de pagamento baseado em ações,BPP
Plano de pensão e saúde,BPP
Plano de previdência privada,BPP
Plano de remuneração baseado em ações,BPP
Plano de remuneração em Ações,BPP
Plano de subscrição de ações,BPP
Planos de Aposentadoria e Benefícios,BPP
Planos de Previdência e Outros Benefícios Pós-Emprego,BPP
Poder concedente a pagar,BPP
Precatórios a Pagar,BPP
Prejuízos Acumulados,BPP
Prejuízos acumulados,BPP
Premio de opção de ações,BPP
Previdência Complementar,BPP
Previdência complementar,BPP
Previdência social,BPP
Preço de Aquisição a Pagar,BPP
Principal,BPP
Processos administrativos,BPP
Programa Emergencial de Redução do Cons. En. El.,BPP
Programa Especial de Regularização Tributária,BPP
Programa de Demissão Voluntária Incentivada,BPP
Programa de Eficiência Energética,BPP
Programa de Fidelização de Clientes,BPP
Programa de Incentivo a Aposentadoria,BPP
Programa de Integração Social - PIS,BPP
Programa de Integração Social - PIS e Contribuição para Financiamento da Seguridade Social - COFINS,BPP
Programa de Milhagem,BPP
Programa de Opções de Compra de Ações,BPP
Programa de Parcelamento Especial ,BPP
Programa de Participação no Resultado,BPP
Programa de Participação nos Resultados,BPP
Programa de Recup Fiscal-REFIS,BPP
Programa de Recup. Fiscal - PAES,BPP
Programa de Recup. Fiscal - REFIS,BPP
Programa de Recup. Fiscal-REFIS,BPP
Programa de Recuperação Fiscal,BPP
Programa de Recuperação Fiscal  (REFIS),BPP
Programa de Recuperação Fiscal (Nota 18),BPP
Programa de Recuperação Fiscal (REFIS),BPP
Programa de Recuperação Fiscal - REFIS,BPP
Programa de Recuperação Fiscal-REFIS,BPP
Programa de Refinanciamento Fiscal,BPP
Programa de fidelização,BPP
Programa de parcelamento governamental,BPP
Programa de recompra de ações,BPP
Programa de recuperação fiscal (REFIS),BPP
Programa de recuperação fiscal - REFIS,BPP
Programa de recuperação judicial,BPP
Programa de refinanciamento fiscal,BPP
Programas de desligamento e reestruturação,BPP
Proposta de Capitalização dos Lucros,BPP
Proventos e Direitos sobre Títulos em Custódia,BPP
Provisao de abandono,BPP
Provisao para Perda com Investimentos,BPP
Provisao para contingencias,BPP
Provisao para preço minimo ações,BPP
Provisoes,BPP
Provisão Diversas,BPP
Provisão Empresas Adquiridas,BPP
Provisão IR/CSLL Diferido,BPP
Provisão IRPJ e CSLL,BPP
Provisão Para Manutenção de Imóveis,BPP
Provisão Para Passivo a Descoberto,BPP
Provisão Para Passivo a Descoberto de Controladas,BPP
Provisão Para Perda Em Investimentos,BPP
Provisão Para Perda de Investimentos,BPP
Provisão Para Riscos Trabalhistas,BPP
Provisão Passivo a descoberto,BPP
Provisão Phanton Share,BPP
Provisão Técnicas - Pessoas,BPP
Provisão a Pagar sobre Contratos de Arrendamento,BPP
Provisão com Garantia,BPP
Provisão contrato oneroso BTG,BPP
Provisão de Custos e Encargos,BPP
Provisão de Despesas Relacionadas,BPP
Provisão de Dividendos/Participação,BPP
Provisão de Eventos/Sinistros a Liquidar para Outros Prestadores de Serviços Assistenciais (PESL),BPP
Provisão de Férias,BPP
Provisão de Férias e Encargos,BPP
Provisão de Garantia,BPP
Provisão de Manutenção,BPP
Provisão de Multa a Pagar por Atraso de Obra,BPP
Provisão de Multas Contratuais,BPP
Provisão de Phantom Share - Controladora,BPP
Provisão de Prêmios não Ranhos,BPP
Provisão de Prêmios/Contraprestações não Ganhas (PPCNG),BPP
Provisão de Ressarcimento,BPP
Provisão de Seguros e Previdência Privada,BPP
Provisão de Sinistros,BPP
Provisão de Sinistros Ocorridos mas não Avisados,BPP
Provisão de Sinistros a Liquidar,BPP
Provisão de conserva especial,BPP
Provisão de custos por indisponibilidade,BPP
Provisão de férias e 13º salário,BPP
Provisão de férias e demais provisões trabalhistas,BPP
Provisão de férias e encargos,BPP
Provisão de garantia de obra,BPP
Provisão de gastos Alagoas,BPP
Provisão de participação societária,BPP
Provisão de prêmios não ganhos,BPP
Provisão de ressarcimento,BPP
Provisão de ressarcimento regulatório,BPP
Provisão de royalties,BPP
Provisão de sinistros ocorridos mas não avisados,BPP
Provisão do passivo atuarial,BPP
"Provisão liminar garantia física, GSF e penalidade de lastro de energia",BPP
Provisão p IRPJ e CSSL,BPP
Provisão p/ Rescisão Contrato de Trabalho,BPP
Provisão p/Custo Orçado,BPP
Provisão para 13º Salário e Encargos,BPP
Provisão para Abandono,BPP
Provisão para Benefícios Assistência Médica e Outros,BPP
Provisão para Benefícios Pós Emprego,BPP
Provisão para Comissões,BPP
Provisão para Contigências,BPP
Provisão para Contingencias,BPP
Provisão para Contingência,BPP
Provisão para Contingências,BPP
Provisão para Contingências Ambientais,BPP
Provisão para Contrato Oneroso,BPP
Provisão para Demandas Judiciais,BPP
Provisão para Demandas Judiciais e Administrativas,BPP
Provisão para Desmantelamento,BPP
Provisão para Desmantelamento de Áreas,BPP
Provisão para Desmantelamento de áreas,BPP
Provisão para Desmobilização,BPP
Provisão para Desmobilização de Ativos,BPP
Provisão para Desvalorização de Participação Societária,BPP
Provisão para Distratos,BPP
Provisão para Dividendos,BPP
Provisão para Encerramento de Relação Comercial,BPP
Provisão para Eventos/Sinistros Ocorridos e não Avisados (PEONA),BPP
Provisão para Férias e 13º Salário,BPP
Provisão para Férias e Encargos,BPP
Provisão para Garantia,BPP
Provisão para Garantias,BPP
Provisão para Imposto de Renda e Contribuição Social,BPP
Provisão para Impostos Diferidos,BPP
Provisão para Investimento em P&D,BPP
Provisão para Manutenção de Imóveis,BPP
Provisão para PPR,BPP
Provisão para Passivo Atuarial,BPP
Provisão para Passivo a Descoberto,BPP
Provisão para Passivo a Descoberto de Investidas,BPP
Provisão para Passivos Atuariais,BPP
Provisão para Perda Esperada,BPP
Provisão para Perda de Investimento,BPP
Provisão para Perda de Investimentos,BPP
Provisão para Perda em Investimentos,BPP
Provisão para Perda em Investimentos em Controladas,BPP
Provisão para Perdas - Instrumentos Financeiros,BPP
Provisão para Perdas Esperadas,BPP
"Provisão para Perdas Tributárias, Trabalhistas e Cíveis",BPP
Provisão para Perdas com Investimentos,BPP
Provisão para Perdas em Instrumentos Financeiros,BPP
Provisão para Processos Judiciais e Outros,BPP
Provisão para Rebate,BPP
Provisão para Riscos,BPP
"Provisão para Riscos Cíveis, Trabalhistas, Tributários, Previdenciários e contratuais",BPP
"Provisão para Riscos Fiscais, Trab.e Cíveis",BPP
Provisão para Riscos Processuais,BPP
"Provisão para Riscos Trabalhistas, Fiscais e Cíveis",BPP
"Provisão para Riscos Trabalhistas, Tributários e Cíveis",BPP
"Provisão para Riscos Tributários, Cíveis e Trabalhista",BPP
Provisão para Royalties,BPP
Provisão para VPC,BPP
Provisão para abandono de poço,BPP
Provisão para abandono de poços,BPP
Provisão para avais de terceiros,BPP
Provisão para benefícios pós - emprego,BPP
Provisão para benefícios pós-emprego,BPP
Provisão para bônus por desempenho,BPP
Provisão para construção de obras,BPP
Provisão para construção de obras futuras,BPP
Provisão para consumo e serviços,BPP
Provisão para contigências,BPP
Provisão para contingência,BPP
Provisão para contingências,BPP
Provisão para contrato de energia,BPP
Provisão para contrato oneroso,BPP
Provisão para demandas administr. e judiciais,BPP
Provisão para demandas judiciais,BPP
Provisão para demandas judiciais e administrativas,BPP
Provisão para demandas judiciais e administrativas e passivo contingente,BPP
Provisão para demobilização,BPP
Provisão para desmantelamento,BPP
Provisão para desmantelamento de ativos,BPP
Provisão para desmobilização,BPP
Provisão para desmobilização de ativos,BPP
Provisão para desmobilização de contratos,BPP
Provisão para desmobilização de mina,BPP
Provisão para despesas com aposentadoria compulsória,BPP
Provisão para distrato,BPP
Provisão para fechamento de poços,BPP
Provisão para férias,BPP
Provisão para garantias de produtos,BPP
Provisão para gratificação a empregados e administradores,BPP
Provisão para gratificações e participações,BPP
Provisão para honorários de êxito,BPP
Provisão para honorários de êxito e outros,BPP
Provisão para imposto de renda e contribuição social,BPP
Provisão para indenizações,BPP
Provisão para indenizações a pagar,BPP
Provisão para investimentos com patrimônio negativos,BPP
Provisão para litígios,BPP
Provisão para manutenção,BPP
Provisão para manutenção de imóveis,BPP
Provisão para obrigações legais vinculadas a processos judiciais ,BPP
Provisão para passivo a descoberto,BPP
Provisão para passivo a descoberto de controlada,BPP
Provisão para passivo a descoberto de controladas,BPP
Provisão para passivo a descoberto de empreendimento controlado em conjunto,BPP
Provisão para passivo a descoberto em investida,BPP
Provisão para perda,BPP
Provisão para perda ao valor recuperável do bem,BPP
Provisão para perda com investimento,BPP
Provisão para perda com investimentos,BPP
Provisão para perda de investimento,BPP
Provisão para perda de investimentos,BPP
Provisão para perda em contrato de Fornecimento de Energia,BPP
Provisão para perda em investimento,BPP
Provisão para perda em investimentos,BPP
Provisão para perdas,BPP
Provisão para perdas com causas judiciais,BPP
Provisão para perdas com investimento,BPP
Provisão para perdas com investimentos,BPP
Provisão para perdas de Investimentos em associadas,BPP
Provisão para perdas em controladas,BPP
Provisão para perdas em controladas e controladas em conjunto,BPP
Provisão para perdas em investimentos,BPP
"Provisão para perdas tributárias, trabalhistas e cíveis",BPP
Provisão para plano de incentivo a longo prazo,BPP
Provisão para processos judiciais,BPP
Provisão para processos judiciais e administrativos,BPP
Provisão para remoção de imobilizado,BPP
Provisão para rescisões a pagar,BPP
Provisão para risco e contingências,BPP
Provisão para riscos,BPP
Provisão para riscos cíveis e trabalhistas,BPP
"Provisão para riscos cíveis, trabalhista e fiscais",BPP
"Provisão para riscos cíveis, trabalhistas e tributários",BPP
"Provisão para riscos cíveis, tributários e trabalhistas",BPP
Provisão para riscos e processos judiciais,BPP
"Provisão para riscos fiscais, civeis e trabalhistas",BPP
Provisão para riscos processuais,BPP
"Provisão para riscos processuais, civeis e tributários",BPP
Provisão para riscos trabalhistas,BPP
"Provisão para riscos tributários, cíveis e trabalhistas",BPP
Provisão para salários e encargos,BPP
Provisão salários e encargos sociais,BPP
Provisão sobre passivo a descoberto de subsidiárias,BPP
Provisão técnica de operações de assistência a saúde,BPP
Provisões,BPP
Provisões Administrativas,BPP
Provisões Adminsitrativas,BPP
Provisões Ambientais,BPP
Provisões CEF,BPP
Provisões Contingências Trabalhistas,BPP
Provisões Contingências Tributárias,BPP
Provisões Cíveis,BPP
Provisões Cíveis e Trabalhistas,BPP
"Provisões Cíveis, ambientais e regulatórias",BPP
Provisões Diversas,BPP
Provisões Fiscais,BPP
Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,BPP
"Provisões Fiscais, Previdenciárias, Trabalhistas e Cíveis",BPP
"Provisões Fiscais, Previdenciários, Cíveis e Trabalhistas",BPP
Provisões Fundiárias,BPP
Provisões Impostos e Contribuições Diferidos,BPP
Provisões Judiciais,BPP
Provisões Operacionais e Trabalhistas,BPP
Provisões Outras,BPP
Provisões Outros,BPP
Provisões Para Contingências,BPP
Provisões Para Passivo a Descoberto,BPP
Provisões Previdenciárias e Trabalhistas,BPP
Provisões Pós-Emprego,BPP
Provisões Regulatórias,BPP
Provisões Regulatórias ANEEL,BPP
Provisões Regulatório,BPP
Provisões Societárias,BPP
Provisões Trabalhistas,BPP
"Provisões Trabalhistas, Fiscais e Cíveis",BPP
Provisões Tributárias,BPP
Provisões Tributários,BPP
Provisões Técnicas,BPP
Provisões Técnicas ANS,BPP
Provisões Técnicas de Seguros,BPP
Provisões Técnicas de Seguros e Previdências,BPP
Provisões Técnicas de Seguros e Resseguros,BPP
Provisões administrativas,BPP
Provisões ambientais,BPP
Provisões com parte relacionadas,BPP
Provisões contingências,BPP
Provisões cíveis e regulatório,BPP
Provisões de Comissões,BPP
Provisões de Conserva Especial,BPP
Provisões de Contingências,BPP
Provisões de Garantia,BPP
Provisões de imposto de renda e contribuição social,BPP
Provisões de impostos diferidos,BPP
Provisões diversas,BPP
Provisões e Outras Obrigações,BPP
Provisões e Passivos Contingentes,BPP
Provisões e contingências passivas,BPP
Provisões e distratos a pagar,BPP
Provisões e encargos trabalhistas,BPP
Provisões judiciais,BPP
Provisões operacionais,BPP
Provisões p/Campanhas Internas,BPP
Provisões p/Despesas Extraordinárias,BPP
Provisões p/Obrigações Diversas,BPP
Provisões para Arrendamento,BPP
Provisões para Benefício Pós Emprego,BPP
Provisões para Benefícios a Empregados,BPP
Provisões para Benefícios a Empregados Compra de Ações,BPP
Provisões para Compromissos e Outras Provisões,BPP
Provisões para Constituição de Ativos,BPP
Provisões para Contigencia,BPP
Provisões para Contigências,BPP
Provisões para Contingencias,BPP
Provisões para Contingência,BPP
Provisões para Contingência Passiva,BPP
Provisões para Contingências,BPP
Provisões para Contingências Trabalhista,BPP
Provisões para Custos Socioambientais,BPP
Provisões para Demandas Judiciais,BPP
Provisões para Demandas Judiciais e Administrativas,BPP
Provisões para Desmantelamento de Ativos,BPP
Provisões para Despesas Administrativas,BPP
Provisões para Distratos,BPP
Provisões para Férias e 13º Salário,BPP
Provisões para Férias e Encargos,BPP
Provisões para Garantias,BPP
Provisões para Garantias de Obras,BPP
Provisões para Garantias de Produtos,BPP
Provisões para Gastos com Reestruturação,BPP
Provisões para Grandes Reparos,BPP
Provisões para IR-CSSL ajuste aval. Patrimonial,BPP
Provisões para Impostos e contribuições,BPP
Provisões para Investimentos em Rodovias,BPP
Provisões para Licenças Ambientais,BPP
Provisões para Manutenção,BPP
Provisões para Manutenção em Rodovias,BPP
Provisões para Outras Contas a pagar,BPP
Provisões para Passivo a Descoberto,BPP
Provisões para Passivo a Descoberto de Controlada,BPP
Provisões para Passivo a Descoberto em Controladas em Conjunto,BPP
Provisões para Passivos Ambientais,BPP
Provisões para Passivos Ambientais e de Desativação,BPP
Provisões para Passivos Regulatórios,BPP
Provisões para Perda de Investimentos,BPP
Provisões para Perda em Investimentos,BPP
Provisões para Perdas com Investimentos,BPP
Provisões para Perdas em Investimentos,BPP
Provisões para Perdas nos Investimentos,BPP
Provisões para Pesquisa e Desenvolvimento,BPP
Provisões para Processos Judiciais e Outros,BPP
Provisões para Reestruturação,BPP
Provisões para Reflorestamento de Jazidas,BPP
Provisões para Riscos,BPP
Provisões para Riscos Cíveis e Trabalhistas,BPP
Provisões para Riscos Fiscais,BPP
"Provisões para Riscos Fiscais, Previdenciários, Cíveis e Trabalhistas",BPP
Provisões para Riscos Legais,BPP
"Provisões para Riscos Trabalhistas, Fiscais e Cíveis",BPP
"Provisões para Riscos Trabalhistas, Fiscais, Cíveis",BPP
"Provisões para Riscos Tributários, Cíveis, Trabalhistas e Outras",BPP
"Provisões para Riscos Tributários, Trabalhistas e Cíveis",BPP
Provisões para arrendamento,BPP
Provisões para ações judiciais,BPP
Provisões para benefícios pós-emprego,BPP
Provisões para compromissos futuros,BPP
Provisões para construção de obras,BPP
Provisões para construção de obras futuras,BPP
Provisões para contigência,BPP
Provisões para contigências,BPP
Provisões para contingência,BPP
Provisões para contingências,BPP
Provisões para contratos onerosos,BPP
Provisões para demandas judiciais,BPP
Provisões para demandas judicias,BPP
Provisões para desmobilização de ativo,BPP
Provisões para desvalorização de Investimento,BPP
Provisões para devolução de aeronaves e motores,BPP
Provisões para distrato a pagar,BPP
Provisões para férias e encargos,BPP
Provisões para garantias,BPP
Provisões para grandes reparos,BPP
Provisões para manutenção,BPP
Provisões para outros riscos,BPP
Provisões para pagamento de royalties,BPP
Provisões para pagamentos a efetuar,BPP
Provisões para passivo a descoberto,BPP
Provisões para passivo a descoberto de controlada,BPP
Provisões para passivos a descoberto em controladas,BPP
Provisões para passivos eventuais,BPP
Provisões para perda em contrato de fornecimento de energia,BPP
Provisões para perda em investimento,BPP
Provisões para perda em investimentos,BPP
"Provisões para perdas ambientais, cíveis, trabalhistas e tributárias",BPP
Provisões para perdas com investimentos,BPP
"Provisões para perdas cíveis, trabalhistas e tributárias",BPP
Provisões para perdas em investimentos,BPP
Provisões para perdas esperadas com garantias prestadas e compromissos de empréstimos,BPP
Provisões para riscos,BPP
"Provisões para riscos cíveis, fiscais, trabalhistas, regulatórios e ambientais",BPP
"Provisões para riscos cíveis, trabalhistas e tributários",BPP
"Provisões para riscos trabalhistas, cíveis, fiscais e regulatórias",BPP
Provisões passivo a descoberto,BPP
Provisões sobre Compromissos e Empréstimos,BPP
Provisões socioambientais,BPP
Provisões trabalhistas,BPP
"Provisões trabalhistas, fiscais e cíveis",BPP
Provisões tributárias,BPP
Provisões técnicas (ANS),BPP
Provisões técnicas de operações de assistência a saúde,BPP
Provisões técnicas de operações de assistência à saúde,BPP
Provisões técnicas de operações de assistência à saúde (PNC),BPP
Provisões técnicas de operações de assistência á saúde,BPP
Provisões técnicas de previdência privada,BPP
Provições para Contigências,BPP
Prêmio e Comissões a Pagar,BPP
Prêmio na Compra de Participação de Não Controladores,BPP
Prêmios a repasssar,BPP
Prêmios de Opções a Pagar,BPP
Prêmios de seguros a pagar,BPP
Prêmios e sinistros a pagar,BPP
Quotas seniores FIDC Verdecard,BPP
REFIS,BPP
REFIS - Programa de recuperação fiscal,BPP
REFIS a Pagar,BPP
REFIS/PAES/PAEX,BPP
Recebimentos a repassar,BPP
Recebíveis - Cessão,BPP
Recebíveis dos Acionistas,BPP
Receita Antecipada de Contraprestações/Prêmios,BPP
Receita Diferida,BPP
Receita Diferidas,BPP
Receita diferida,BPP
Receitas Antecipadas,BPP
Receitas Diferidas,BPP
"Receitas Diferidas, Líquidas",BPP
Receitas a Apropriar,BPP
Receitas a apropriar,BPP
Receitas antecipadas,BPP
Receitas de Cessões a Apropriar,BPP
Receitas de Comercialização Diferidas,BPP
Receitas de cessões a apropriar,BPP
Receitas diferidas,BPP
Receitas diferidas e prêmios a distribuir,BPP
Receitas e custos diferidos,BPP
Reclassificação com gastos com emissão de ações,BPP
Reclassificação deações resgatáveis,BPP
Recompra de Ações a Pagar,BPP
Recompra de Outorga,BPP
Recompra de ações,BPP
Reconhecimento de planos de pagamento baseado em ações,BPP
Recursos Mercado Interfinanceiro,BPP
Recursos a devolver a consorciados,BPP
